probe_id	chromosome	probe_location	gene_id
cg00368022	5	31532653	FLJ11193
cg00368415	1	151584398	SNX27
cg00371195	11	46740481	F2
cg00374717	17	66303145	ARSG
cg00375964	4	146019130	ABCE1
cg00376639	19	56155151	ZNF581
cg00380464	6	144164650	LTV1
cg00381076	18	51884797	C18orf54
cg00382515	2	224822229	MRPL44
cg00382991	15	84898019	LOC388152
cg00384537	17	39637963	KRTHA5
cg00386408	5	135364970	TGFBI
cg00387170	6	41514002	FOXP4
cg00392257	1	156696747	ISG20L2
cg00393585	4	165878091	FLJ31659
cg00394658	11	48001669	PTPRJ
cg00396163	2	84743584	FLJ37357
cg00396894	2	27362420	MGC44505
cg00397545	19	45417526	APOC1
cg00397740	1	161136321	PPOX
cg00398048	4	178364342	AGA
cg00399483	18	49868378	DCC
cg00400028	3	140949916	ACPL2
cg00400263	20	58514201	C20orf177
cg00401678	19	14787227	EMR3
cg00402366	1	74663750	LRRC44
cg00403724	X	99839289	TNMD
cg00404599	X	107018431	TSC22D3
cg00405070	12	112450647	C12orf8
cg00405568	17	43138965	NMT1
cg00405677	5	153858102	HAND1
cg00406188	1	152647216	LCE2C
cg00406844	22	32753939	RFPL3
cg00407150	3	42743794	GUP1
cg00410419	13	76111785	COMMD6
cg00410576	15	52311136	MAPK6
cg00410831	19	44429318	ZNF45
cg00410895	1	43283884	CCDC23
cg00410898	8	23712355	STC1
cg00410921	15	43885138	CKMT1B
cg00411097	7	1596050	MGC9712
cg00412772	19	38794845	C19orf33
cg00412805	3	42726970	KBTBD5
cg00413066	15	52405464	BCL2L10
cg00415164	11	44327098	ALX4
cg00415494	X	151919773	MAGEA2B
cg00415978	4	119809925	SYNPO2
cg00415993	5	75919188	F2RL2
cg00417297	3	40518742	ZNF619
cg00418150	11	44327869	ALX4
cg00419564	1	153508860	S100A6
cg00420568	9	91794904	SHC3
cg00420715	8	100025364	VPS13B
cg00420929	19	18451112	PGPEP1
cg00422913	17	1619022	MGC14376
cg00424946	16	69221172	SNTB2
cg00425710	16	56672671	MT1A
cg00425792	17	33905503	PEX12
cg00426056	6	33385896	CUTA
cg00426498	17	27507667	MYO18A
cg00426963	9	86535755	KIF27
cg00427635	15	74166372	TBC1D21
cg00429618	9	99962350	ZNF322B
cg00430287	6	116382876	FRK
cg00430945	19	49617309	LIN7B
cg00431050	10	103985730	ELOVL3
cg00431114	20	43104027	C20orf121
cg00431549	12	15039025	MGP
cg00432979	13	21750473	MRP63
cg00433406	1	20616975	FLJ32784
cg00434413	X	153201653	ARD1A
cg00435408	16	57220662	RSPRY1
cg00436282	4	70861449	STATH
cg00436301	6	116421736	NT5DC1
cg00436603	10	135340740	CYP2E1
cg00441136	20	30864848	KIF3B
cg00441382	15	74284481	STOML1
cg00443307	12	9141740	KLRG1
cg00445824	19	18548929	ISYNA1
cg00446235	1	161008644	F11R
cg00447208	17	76126301	TMC8
cg00448720	13	24883014	MGC48915
cg00449941	17	26926011	SPAG5
cg00451635	16	10675030	EMP2
cg00453193	7	115851050	TES
cg00453258	10	105219172	FAM26C
cg00459975	8	28749099	HMBOX1
cg00461841	16	10523485	ATF7IP2
cg00462311	14	24837184	NFATC4
cg00462994	17	42081955	NAGS
cg00463202	13	114107710	ADPRHL1
cg00463577	6	74161911	C6orf150
cg00463848	12	53046105	KRT2A
cg00464269	17	26662842	TNFAIP1
cg00465284	2	80531898	LRRTM1
cg00465846	8	125486974	RNF139
cg00466249	17	79269884	MGC15523
cg00466436	20	123163	DEFB126
cg00466492	19	7991731	CTXN1
cg00466544	14	57046243	C14orf101
cg00468146	6	19838211	ID4
cg00469635	11	73882471	PPME1
cg00471562	10	1102373	WDR37
cg00472136	12	57410604	TAC3
cg00472814	21	28217676	ADAMTS1
cg00474004	9	21239944	IFNA14
cg00474209	6	170600060	DLL1
cg00475955	9	131592049	C9orf114
cg00476577	20	52200408	ZNF217
cg00476580	1	150207583	ANP32E
cg00479269	2	101869975	C2orf29
cg00480115	19	35606877	FXYD3
cg00480209	17	10600689	C17orf48
cg00480356	15	44092806	HYPK
cg00481227	20	36322069	CTNNBL1
cg00483154	5	176943504	DDX41
cg00485296	16	1821559	NME3
cg00485380	7	26240560	CBX3
cg00487159	16	11349568	SOCS1
cg00488300	16	1276490	TPSG1
cg00488364	X	114253315	IL13RA2
cg00488718	4	128887044	MGC33302
cg00489401	5	180075875	FLT4
cg00491404	1	110306591	EPS8L3
cg00491839	19	49375640	PPP1R15A
cg00493400	2	191879127	STAT1
cg00495415	12	53773795	SP1
cg00495442	20	37101172	KIAA1219
cg00495491	12	26822813	ITPR2
cg00496170	14	67826880	ATP6V1D
cg00497084	X	18709116	PPEF1
cg00497251	2	241508725	RNPEPL1
cg00498305	10	119000236	SLC18A2
cg00498604	4	166793789	TLL1
cg00499599	21	47706392	MCM3AP
cg00499822	10	44881551	CXCL12
cg00500400	22	41487283	EP300
cg00501366	17	7992476	ALOX12B
cg00502442	6	157801893	ZDHHC14
cg00503458	1	155904439	KIAA0907
cg00503840	7	96650509	DLX5
cg00504595	13	24144985	TNFRSF19
cg00509616	15	57884415	Gcom1
cg00509670	14	37130313	PAX9
cg00510787	6	151772946	C6orf96
cg00510956	1	32478440	KHDRBS1
cg00511475	16	89238330	CDH15
cg00512031	4	5021976	CYTL1
cg00512279	10	119000991	SLC18A2
cg00512374	17	38599682	IGFBP4
cg00513220	1	220922123	MOSC2
cg00513467	9	21335551	KLHL9
cg00514407	2	224904626	SERPINE2
cg00514895	4	8594413	CPZ
cg00515905	1	110306507	EPS8L3
cg00516481	21	44073202	PDE9A
cg00518911	7	27221304	HOXA10
cg00518989	22	31608519	LIMK2
cg00519208	1	93258319	EVI5
cg00519627	16	4466650	CORO7
cg00520135	15	63333846	TPM1
cg00520708	5	134181266	FLJ37562
cg00521434	1	110081965	GPR61
cg00521598	1	39339413	MYCBP
cg00522034	3	105587721	CBLB
cg00522316	19	6425042	KHSRP
cg00524288	7	48128452	UPP1
cg00528052	1	202777295	JARID1B
cg00528967	13	99228955	STK24
cg00532335	10	95516861	LGI1
cg00532890	1	164528682	PBX1
cg00534274	4	139163341	SLC7A11
cg00534856	19	49527471	CGB
cg00536175	X	48645024	GATA1
cg00537910	2	220084611	ABCB6
cg00539322	2	234216360	SAG
cg00539716	2	48541921	HTLF
cg00539955	22	44395433	PARVB
cg00540544	1	201476297	CSRP1
cg00540769	5	80689492	ACOT12
cg00542846	21	27543545	APP
cg00544557	21	39578742	DSCR10
cg00545573	12	118810436	TAOK3
cg00546491	7	32111062	PDE1C
cg00546897	21	45232232	LOC284837
cg00547018	16	5121709	ALG1
cg00547789	X	154493750	RAB39B
cg00547829	17	57970161	TUBD1
cg00548060	1	182761905	NPL
cg00548268	7	98245830	NPTX2
cg00550617	17	39405817	KRTAP9-4
cg00551244	8	125183776	C8orf78
cg00554173	20	3149777	ProSAPiP1
cg00554250	11	47281370	NR1H3
cg00554682	2	185463132	C2orf10
cg00554702	11	125496645	CHEK1
cg00556408	22	37500588	TMPRSS6
cg00557354	13	111767899	ARHGEF7
cg00559473	12	53715592	AAAS
cg00560119	9	130374109	STXBP1
cg00563229	1	28286146	XKR8
cg00563845	3	58318305	PXK
cg00563926	1	92352481	TGFBR3
cg00563932	9	139871049	PTGDS
cg00564163	7	87935979	STEAP4
cg00565075	22	38244893	EIF3S6IP
cg00565688	1	3568212	TP73
cg00566759	18	28682345	DSC2
cg00567479	2	242295999	FARP2
cg00567749	5	82767908	CSPG2
cg00568128	10	115934100	C10orf118
cg00568792	11	125462554	STT3A
cg00569620	3	111697653	ABHD10
cg00571634	3	122134820	WDR5B
cg00572797	1	25234579	RUNX3
cg00573606	2	238322680	COL6A3
cg00575744	6	32908642	HLA-DMB
cg00576250	20	45087765	ZNF663
cg00577167	9	104197675	ALDOB
cg00577464	7	155604780	SHH
cg00578575	8	181733	ZNF596
cg00579393	2	79316004	REG1B
cg00579402	19	5838999	FUT6
cg00581156	5	61699416	HSA9761
cg00582372	X	16668782	S100G
cg00582628	8	54764515	RGS20
cg00584022	12	25403167	KRAS
cg00585790	2	109204845	LIMS1
cg00585846	6	31515458	NFKBIL1
cg00586909	6	20534671	CDKAL1
cg00587613	11	67220223	GPR152
cg00592315	14	94384611	C14orf152
cg00594118	9	140150000	COBRA1
cg00594952	1	41130641	RIMS3
cg00596686	X	7137332	STS
cg00597076	17	1395880	MYO1C
cg00598858	19	11545966	PRKCSH
cg00600110	X	8769528	FAM9A
cg00600684	10	122610158	BRWD2
cg00601486	12	48723148	H1T2
cg00602891	17	80408864	C17orf62
cg00603172	2	242497879	BOK
cg00605270	1	28261552	SMPDL3B
cg00609097	1	45956974	TESK2
cg00611397	20	60768026	GTPBP5
cg00612467	4	108911077	HADHSC
cg00613255	11	2182376	INS
cg00613344	1	222722670	KIAA1822L
cg00614413	19	5286594	PTPRS
cg00615241	19	839689	PRTN3
cg00615377	22	36236649	RBM9
cg00615915	18	61637299	SERPINB8
cg00616129	12	10827014	STYK1
cg00616135	15	63413614	LACTB
cg00616369	2	232329096	NCL
cg00617305	1	201857940	TMEM58
cg00618396	X	154444551	VBP1
cg00619207	1	111743368	DENND2D
cg00620024	9	127952891	PPP6C
cg00620223	1	214776904	CENPF
cg00620629	6	116989951	C6orf113
cg00620857	14	74057820	ACOT4
cg00622552	15	76016335	ODF3L1
cg00622677	4	99579248	TSPAN5
cg00623593	10	128767610	DOCK1
cg00625425	1	62785512	ANKRD38
cg00625653	3	13921227	WNT7A
cg00626119	1	156785288	NTRK1
cg00626466	12	65153982	GNS
cg00627233	2	79251911	REG3G
cg00627286	4	39529350	UGDH
cg00629217	4	54425349	LNX1
cg00629585	9	135853992	GFI1B
cg00630164	1	41250062	KCNQ4
cg00630249	1	110036889	CYB561D1
cg00630583	12	133264314	POLE
cg00631230	12	122750916	VPS33A
cg00633969	3	122284550	PARP9
cg00634577	6	27799260	HIST1H4K
cg00635481	6	35226917	ZNF76
cg00636639	9	125027249	MRRF
cg00638514	17	72932048	OTOP3
cg00642303	3	195162912	CENTB2
cg00643392	19	12946856	RTBDN
cg00644033	7	100544704	MUC3B
cg00645224	7	74267910	GTF2IRD2
cg00645579	11	617140	IRF7
cg00645922	5	114962179	TMED7
cg00646140	X	2847561	ARSD
cg00646492	10	106014296	GSTO1
cg00647741	19	58693450	ZNF274
cg00648153	6	74364149	SLC17A5
cg00648883	13	32524761	LOC196549
cg00650762	1	23037368	EPHB2
cg00650876	1	43148058	YBX1
cg00651216	6	44213720	HSP90AB1
cg00653387	7	137028535	PTN
cg00654814	17	74865068	MGAT5B
cg00654816	4	4291411	ZNF509
cg00655307	6	152128743	ESR1
cg00655779	2	73461068	CCT7
cg00657095	6	35310123	PPARD
cg00657582	14	21904906	CHD8
cg00658007	1	211666129	C1orf36
cg00658626	12	111284979	CCDC63
cg00659129	8	131414614	DDEF1
cg00659953	16	770731	C16orf24
cg00660989	14	45432516	BTBD5
cg00661202	3	14166502	CHCHD4
cg00661485	5	169533372	FOXI1
cg00662556	18	74963364	GALR1
cg00662775	X	102840435	TCEAL4
cg00665395	2	219575490	TTLL4
cg00666446	1	247242273	ZNF670
cg00666746	19	15217781	SYDE1
cg00668685	12	56624552	SLC39A5
cg00669623	1	1655867	CDC2L2
cg00669856	4	124317779	SPRY1
cg00671161	13	52586367	ATP7B
cg00672638	5	142149399	ARHGAP26
cg00673020	X	134049678	MOSPD1
cg00673191	21	37536923	DOPEY2
cg00674922	3	18465772	SATB1
cg00676660	3	64672609	ADAMTS9
cg00677811	7	45040321	CCM2
cg00678539	15	56757625	MNS1
cg00679556	6	30080782	TRIM31
cg00679738	1	231175246	FAM89A
cg00682653	14	68141442	VTI1B
cg00684178	2	242752080	NEU4
cg00685836	12	82153256	PPFIA2
cg00686022	12	40020078	C12orf40
cg00686623	11	64949038	CAPN1
cg00687674	15	69373260	TMEM84
cg00687686	16	58497236	NDRG4
cg00688421	4	99181920	RAP1GDS1
cg00689010	1	160311893	NCSTN
cg00689014	17	39869138	GAST
cg00689340	2	74668672	RTKN
cg00690049	X	54834244	MAGED2
cg00690280	20	44332733	WFDC10B
cg00690893	X	13707028	RAB9A
cg00691625	9	127269807	NR5A1
cg00691822	X	117106893	KLHL13
cg00692549	1	11072455	TARDBP
cg00693307	11	118825819	UPK2
cg00695416	21	37442476	CBR1
cg00696900	2	85767031	MAT2A
cg00698688	19	49055432	SULT2B1
cg00702231	6	144329473	PLAGL1
cg00702729	7	99757654	FLJ10925
cg00704310	19	34288103	KCTD15
cg00704909	11	14521319	COPB
cg00705255	19	54804613	LILRA3
cg00706536	17	40609826	ATP6V0A1
cg00707317	1	183387564	NMNAT2
cg00708598	13	53313895	LECT1
cg00708642	14	103800518	EIF5
cg00711916	2	97426274	CNNM4
cg00712898	1	109235208	PRPF38B
cg00714377	20	35274715	SLA2
cg00717862	3	186288771	DNAJB11
cg00718440	9	21995312	CDKN2A
cg00718513	2	89215272	NA
cg00718748	17	16556871	ZNF624
cg00720072	10	94051159	MARCH5
cg00720137	16	80575018	DYNLRB2
cg00720723	2	203130645	NOP5/NOP58
cg00722300	19	14138639	RLN3
cg00724662	11	62573193	NXF1
cg00725143	17	45608199	NPEPPS
cg00725635	1	193155806	B3GALT2
cg00725777	X	102630411	NGFRAP1
cg00727590	22	31536549	PLA2G3
cg00727947	19	54825100	LILRA5
cg00728317	16	56692033	MT1F
cg00728398	1	37980699	C1orf149
cg00728602	6	31744927	C6orf27
cg00729275	18	24445134	C18orf16
cg00729541	9	131798577	FAM73B
cg00729708	15	101084442	LASS3
cg00729875	1	100111713	PALMD
cg00730260	12	24736888	FLJ32894
cg00731459	2	240323091	HDAC4
cg00733682	19	12405568	ZNF44
cg00734993	6	36953694	MTCH1
cg00736326	7	98923878	ARPC1A
cg00737514	4	37893313	TBC1D1
cg00739120	19	36035875	NIFIE14
cg00741717	X	12924184	TLR8
cg00743372	6	28109648	ZNF192
cg00744433	21	18884067	CXADR
cg00745543	12	48722754	H1T2
cg00745735	10	69868860	FLJ14437
cg00746083	14	21905454	CHD8
cg00746130	6	31671271	BAT5
cg00746981	1	156721141	HDGF
cg00747849	22	19165386	SLC25A1
cg00750606	1	20899121	CDA
