gene_symbol	chromosome	start_loc	stop_loc	strand
5S_rRNA|13|ENSG00000222920	13	52836	52941	-
5S_rRNA|13|ENSG00000222936	13	675528	675635	-
5S_rRNA|13|ENSG00000223076	13	949026	949146	+
5S_rRNA|13|ENSG00000223177	13	433478	433597	-
5S_rRNA|14|ENSG00000199386	14	753826	753929	+
5S_rRNA|14|ENSG00000199438	14	211021	211137	-
5S_rRNA|14|ENSG00000199454	14	837055	837173	-
5S_rRNA|14|ENSG00000199480	14	547584	547698	+
5S_rRNA|14|ENSG00000199528	14	236872	236988	-
5S_rRNA|14|ENSG00000199804	14	713597	713716	+
5S_rRNA|14|ENSG00000200159	14	347251	347363	-
5S_rRNA|14|ENSG00000200225	14	952986	953103	+
5S_rRNA|14|ENSG00000200854	14	63129	63246	-
5S_rRNA|14|ENSG00000201096	14	106628	106733	+
5S_rRNA|14|ENSG00000202110	14	155698	155804	-
5S_rRNA|14|ENSG00000222918	14	204616	204725	+
5S_rRNA|15|ENSG00000200293	15	670179	670295	-
5S_rRNA|15|ENSG00000200326	15	309949	310067	-
5S_rRNA|15|ENSG00000200873	15	33543	33659	+
5S_rRNA|15|ENSG00000201039	15	463371	463471	+
5S_rRNA|15|ENSG00000201086	15	159706	159824	+
5S_rRNA|15|ENSG00000201704	15	803910	804029	-
5S_rRNA|15|ENSG00000212625	15	240506	240623	+
5S_rRNA|15|ENSG00000222123	15	564582	564688	+
5S_rRNA|16|ENSG00000199299	16	149089	149198	-
5S_rRNA|16|ENSG00000199350	16	192264	192379	-
5S_rRNA|16|ENSG00000199771	16	716588	716708	-
5S_rRNA|16|ENSG00000199929	16	337887	338000	+
5S_rRNA|16|ENSG00000200468	16	673297	673404	-
5S_rRNA|16|ENSG00000200558	16	478962	479070	+
5S_rRNA|16|ENSG00000200911	16	268643	268752	+
5S_rRNA|16|ENSG00000201361	16	415162	415275	-
5S_rRNA|16|ENSG00000201999	16	839096	839211	+
5S_rRNA|16|ENSG00000202193	16	283421	283539	+
5S_rRNA|16|ENSG00000212290	16	295945	296059	-
5S_rRNA|16|ENSG00000222207	16	847842	847949	+
5S_rRNA|16|ENSG00000222244	16	51321	51440	+
5S_rRNA|16|ENSG00000222268	16	351030	351141	+
5S_rRNA|17|ENSG00000199374	17	258756	258857	-
5S_rRNA|17|ENSG00000199953	17	317438	317562	-
5S_rRNA|17|ENSG00000200021	17	270586	270696	-
5S_rRNA|17|ENSG00000200115	17	643633	643751	-
5S_rRNA|17|ENSG00000200619	17	966473	966591	+
5S_rRNA|17|ENSG00000200762	17	587478	587591	+
5S_rRNA|17|ENSG00000200914	17	885456	885563	-
5S_rRNA|17|ENSG00000201920	17	656255	656361	+
5S_rRNA|17|ENSG00000222165	17	271976	272095	+
5S_rRNA|17|ENSG00000222811	17	6727	6834	+
5S_rRNA|18|ENSG00000199373	18	347877	347995	-
5S_rRNA|18|ENSG00000199874	18	178733	178851	-
5S_rRNA|18|ENSG00000200527	18	124536	124659	-
5S_rRNA|18|ENSG00000200872	18	248871	248984	-
5S_rRNA|18|ENSG00000202060	18	828719	828837	+
5S_rRNA|18|ENSG00000222520	18	687628	687737	-
5S_rRNA|18|ENSG00000223138	18	378129	378230	+
5S_rRNA|19|ENSG00000199900	19	57620	57739	-
5S_rRNA|19|ENSG00000200738	19	166620	166738	-
5S_rRNA|19|ENSG00000201035	19	555251	555359	-
5S_rRNA|19|ENSG00000212497	19	327598	327706	-
5S_rRNA|19|ENSG00000212576	19	406182	406299	+
5S_rRNA|19|ENSG00000223016	19	863309	863414	-
5S_rRNA|19|ENSG00000223051	19	308330	308435	+
5S_rRNA|1|ENSG00000199240	1	170215	170334	+
5S_rRNA|1|ENSG00000199270	1	594052	594170	-
5S_rRNA|1|ENSG00000199318	1	155904	156012	-
5S_rRNA|1|ENSG00000199334	1	591812	591930	-
5S_rRNA|1|ENSG00000199337	1	573931	574049	-
5S_rRNA|1|ENSG00000199352	1	569449	569567	-
5S_rRNA|1|ENSG00000199396	1	578413	578531	-
5S_rRNA|1|ENSG00000199811	1	639078	639183	+
5S_rRNA|1|ENSG00000199837	1	537745	537870	-
5S_rRNA|1|ENSG00000199910	1	589571	589689	-
5S_rRNA|1|ENSG00000200036	1	937262	937380	+
5S_rRNA|1|ENSG00000200327	1	400349	400461	-
5S_rRNA|1|ENSG00000200343	1	585090	585208	-
5S_rRNA|1|ENSG00000200370	1	605221	605339	-
5S_rRNA|1|ENSG00000200381	1	576172	576290	-
5S_rRNA|1|ENSG00000200408	1	432351	432459	-
5S_rRNA|1|ENSG00000200601	1	347567	347685	-
5S_rRNA|1|ENSG00000200624	1	580628	580746	-
5S_rRNA|1|ENSG00000200755	1	170769	170887	-
5S_rRNA|1|ENSG00000200839	1	948499	948624	+
5S_rRNA|1|ENSG00000201148	1	1032837	1032951	+
5S_rRNA|1|ENSG00000201312	1	767706	767822	-
5S_rRNA|1|ENSG00000201321	1	587329	587447	-
5S_rRNA|1|ENSG00000201347	1	704302	704418	+
5S_rRNA|1|ENSG00000201355	1	598518	598636	-
5S_rRNA|1|ENSG00000201492	1	509086	509203	+
5S_rRNA|1|ENSG00000201588	1	571690	571808	-
5S_rRNA|1|ENSG00000201620	1	586319	586437	-
5S_rRNA|1|ENSG00000201925	1	600749	600867	-
5S_rRNA|1|ENSG00000202056	1	566928	567036	+
5S_rRNA|1|ENSG00000202063	1	779430	779538	+
5S_rRNA|1|ENSG00000202257	1	602990	603108	-
5S_rRNA|1|ENSG00000202263	1	316180	316294	-
5S_rRNA|1|ENSG00000202264	1	572316	572435	+
5S_rRNA|1|ENSG00000202456	1	273732	273839	+
5S_rRNA|1|ENSG00000202521	1	582848	582966	-
5S_rRNA|1|ENSG00000202526	1	596277	596395	-
5S_rRNA|1|ENSG00000207341	1	973547	973653	+
5S_rRNA|1|ENSG00000212237	1	607093	607213	-
5S_rRNA|1|ENSG00000212308	1	596541	596645	-
5S_rRNA|1|ENSG00000212439	1	350995	351094	-
5S_rRNA|1|ENSG00000212527	1	441340	441449	+
5S_rRNA|1|ENSG00000212601	1	337461	337580	-
5S_rRNA|1|ENSG00000222120	1	482995	483104	+
5S_rRNA|1|ENSG00000222209	1	897925	898042	-
5S_rRNA|1|ENSG00000222378	1	71025	71130	-
5S_rRNA|1|ENSG00000222407	1	263226	263336	-
5S_rRNA|1|ENSG00000222552	1	7857	7946	+
5S_rRNA|1|ENSG00000222849	1	1275	1394	+
5S_rRNA|1|ENSG00000222854	1	710614	710723	-
5S_rRNA|1|ENSG00000222952	1	73881	73981	-
5S_rRNA|20|ENSG00000199509	20	122661	122779	-
5S_rRNA|20|ENSG00000199583	20	761566	761691	-
5S_rRNA|20|ENSG00000200301	20	491967	492084	+
5S_rRNA|20|ENSG00000201527	20	144558	144672	-
5S_rRNA|20|ENSG00000201728	20	364597	364713	-
5S_rRNA|20|ENSG00000201923	20	368788	368906	-
5S_rRNA|20|ENSG00000212536	20	29204	29324	-
5S_rRNA|20|ENSG00000212571	20	203951	204068	+
5S_rRNA|20|ENSG00000222118	20	275526	275645	-
5S_rRNA|20|ENSG00000222500	20	1286031	1286155	-
5S_rRNA|21|ENSG00000199806	21	818373	818490	+
5S_rRNA|21|ENSG00000201812	21	462010	462125	+
5S_rRNA|21|ENSG00000223262	21	337065	337178	+
5S_rRNA|22|ENSG00000200985	22	481823	481927	+
5S_rRNA|22|ENSG00000212542	22	612328	612436	+
5S_rRNA|22|ENSG00000222585	22	447285	447413	-
5S_rRNA|22|ENSG00000223020	22	30437	30545	+
5S_rRNA|22|ENSG00000223304	22	589894	589986	-
5S_rRNA|2|ENSG00000199395	2	264028	264141	-
5S_rRNA|2|ENSG00000199508	2	488026	488140	+
5S_rRNA|2|ENSG00000199585	2	160933	161049	+
5S_rRNA|2|ENSG00000200028	2	26200	26286	+
5S_rRNA|2|ENSG00000200650	2	160218	160330	-
5S_rRNA|2|ENSG00000200805	2	496416	496520	+
5S_rRNA|2|ENSG00000200890	2	846434	846547	-
5S_rRNA|2|ENSG00000201610	2	804081	804187	+
5S_rRNA|2|ENSG00000201671	2	54632	54741	+
5S_rRNA|2|ENSG00000201876	2	793121	793212	-
5S_rRNA|2|ENSG00000202164	2	309431	309548	-
5S_rRNA|2|ENSG00000202248	2	848345	848463	-
5S_rRNA|2|ENSG00000202430	2	73699	73807	-
5S_rRNA|2|ENSG00000202510	2	350991	351097	+
5S_rRNA|2|ENSG00000206882	2	735219	735336	-
5S_rRNA|2|ENSG00000207186	2	587129	587236	+
5S_rRNA|2|ENSG00000212171	2	757301	757399	-
5S_rRNA|2|ENSG00000212204	2	341431	341549	-
5S_rRNA|2|ENSG00000212312	2	126530	126645	+
5S_rRNA|2|ENSG00000212425	2	747554	747666	-
5S_rRNA|2|ENSG00000222232	2	344075	344182	+
5S_rRNA|2|ENSG00000222251	2	57784	57900	+
5S_rRNA|2|ENSG00000222317	2	298867	298975	-
5S_rRNA|2|ENSG00000222418	2	607841	607956	+
5S_rRNA|2|ENSG00000222823	2	50304	50407	-
5S_rRNA|2|ENSG00000222832	2	536624	536735	-
5S_rRNA|2|ENSG00000222835	2	691609	691718	+
5S_rRNA|2|ENSG00000222921	2	112014	112131	+
5S_rRNA|2|ENSG00000223092	2	323872	323978	-
5S_rRNA|2|ENSG00000223290	2	823900	824021	+
5S_rRNA|2|ENSG00000223318	2	525257	525371	-
5S_rRNA|3|ENSG00000199609	3	123070	123179	+
5S_rRNA|3|ENSG00000199839	3	23611	23729	-
5S_rRNA|3|ENSG00000199994	3	376412	376536	+
5S_rRNA|3|ENSG00000200114	3	239512	239630	-
5S_rRNA|3|ENSG00000200238	3	502284	502390	+
5S_rRNA|3|ENSG00000201210	3	275541	275657	+
5S_rRNA|3|ENSG00000201301	3	717456	717569	-
5S_rRNA|3|ENSG00000201325	3	181984	182099	-
5S_rRNA|3|ENSG00000201394	3	311131	311222	-
5S_rRNA|3|ENSG00000201413	3	384489	384608	-
5S_rRNA|3|ENSG00000201595	3	24203	24320	-
5S_rRNA|3|ENSG00000201713	3	985975	986094	+
5S_rRNA|3|ENSG00000201822	3	362602	362716	-
5S_rRNA|3|ENSG00000201962	3	313252	313360	-
5S_rRNA|3|ENSG00000201968	3	842373	842486	-
5S_rRNA|3|ENSG00000201991	3	478338	478447	-
5S_rRNA|3|ENSG00000202175	3	496376	496491	-
5S_rRNA|3|ENSG00000202322	3	746778	746896	+
5S_rRNA|3|ENSG00000202502	3	465798	465914	-
5S_rRNA|3|ENSG00000222208	3	350711	350828	+
5S_rRNA|3|ENSG00000222675	3	365368	365490	-
5S_rRNA|3|ENSG00000222778	3	252531	252646	-
5S_rRNA|3|ENSG00000222838	3	9977	10083	-
5S_rRNA|3|ENSG00000222983	3	189684	189798	+
5S_rRNA|4|ENSG00000199572	4	973022	973139	+
5S_rRNA|4|ENSG00000199896	4	874706	874811	-
5S_rRNA|4|ENSG00000200741	4	244741	244855	+
5S_rRNA|4|ENSG00000201145	4	975580	975698	+
5S_rRNA|4|ENSG00000201727	4	364578	364693	+
5S_rRNA|4|ENSG00000201736	4	567900	568019	+
5S_rRNA|4|ENSG00000201846	4	981537	981654	+
5S_rRNA|4|ENSG00000201931	4	414994	415111	-
5S_rRNA|4|ENSG00000202054	4	201368	201477	+
5S_rRNA|4|ENSG00000202331	4	331158	331269	+
5S_rRNA|4|ENSG00000212373	4	185981	186095	-
5S_rRNA|4|ENSG00000222182	4	925350	925459	-
5S_rRNA|4|ENSG00000222230	4	305815	305916	-
5S_rRNA|4|ENSG00000222236	4	38540	38638	-
5S_rRNA|4|ENSG00000223086	4	482204	482332	-
5S_rRNA|5|ENSG00000199322	5	217813	217931	+
5S_rRNA|5|ENSG00000199455	5	275870	275959	+
5S_rRNA|5|ENSG00000199545	5	547435	547551	+
5S_rRNA|5|ENSG00000199786	5	670285	670390	-
5S_rRNA|5|ENSG00000200136	5	277126	277229	+
5S_rRNA|5|ENSG00000200227	5	35268	35386	-
5S_rRNA|5|ENSG00000200275	5	403080	403197	+
5S_rRNA|5|ENSG00000201046	5	522353	522469	-
5S_rRNA|5|ENSG00000201274	5	10034	10153	+
5S_rRNA|5|ENSG00000201369	5	625258	625371	-
5S_rRNA|5|ENSG00000201532	5	259912	260024	+
5S_rRNA|5|ENSG00000201790	5	552042	552156	-
5S_rRNA|5|ENSG00000202092	5	607176	607293	+
5S_rRNA|5|ENSG00000207129	5	332950	333068	-
5S_rRNA|5|ENSG00000212258	5	100340	100449	+
5S_rRNA|5|ENSG00000212265	5	700676	700789	-
5S_rRNA|5|ENSG00000212504	5	975821	975938	-
5S_rRNA|5|ENSG00000222054	5	814028	814116	+
5S_rRNA|5|ENSG00000222178	5	960190	960301	+
5S_rRNA|5|ENSG00000222285	5	135525	135631	-
5S_rRNA|5|ENSG00000222308	5	433391	433500	-
5S_rRNA|5|ENSG00000222312	5	86356	86457	-
5S_rRNA|5|ENSG00000223003	5	587082	587189	-
5S_rRNA|6|ENSG00000199345	6	255997	256102	-
5S_rRNA|6|ENSG00000199523	6	85529	85643	+
5S_rRNA|6|ENSG00000199625	6	767707	767812	-
5S_rRNA|6|ENSG00000199639	6	247913	248008	+
5S_rRNA|6|ENSG00000200058	6	687713	687821	+
5S_rRNA|6|ENSG00000200248	6	120150	120267	+
5S_rRNA|6|ENSG00000200310	6	727770	727891	+
5S_rRNA|6|ENSG00000201185	6	806226	806344	+
5S_rRNA|6|ENSG00000201415	6	484207	484324	-
5S_rRNA|6|ENSG00000201429	6	736817	736921	+
5S_rRNA|6|ENSG00000201523	6	310968	311076	+
5S_rRNA|6|ENSG00000201939	6	149512	149624	-
5S_rRNA|6|ENSG00000202044	6	289589	289708	+
5S_rRNA|6|ENSG00000202386	6	265906	266022	+
5S_rRNA|6|ENSG00000202463	6	237694	237804	-
5S_rRNA|6|ENSG00000212176	6	905383	905489	-
5S_rRNA|6|ENSG00000212242	6	74188	74303	+
5S_rRNA|6|ENSG00000212320	6	786302	786418	-
5S_rRNA|6|ENSG00000212333	6	239555	239660	-
5S_rRNA|6|ENSG00000212336	6	516554	516673	+
5S_rRNA|6|ENSG00000212525	6	100843	100949	+
5S_rRNA|6|ENSG00000222199	6	523650	523756	-
5S_rRNA|6|ENSG00000222248	6	466949	467072	-
5S_rRNA|6|ENSG00000222383	6	261569	261704	-
5S_rRNA|6|ENSG00000222665	6	582654	582757	+
5S_rRNA|6|ENSG00000222806	6	410717	410823	+
5S_rRNA|6|ENSG00000222971	6	313646	313737	+
5S_rRNA|6|ENSG00000223169	6	570331	570427	-
5S_rRNA|6|ENSG00000223203	6	389924	390026	+
5S_rRNA|7|ENSG00000199404	7	459045	459163	-
5S_rRNA|7|ENSG00000200786	7	199790	199908	+
5S_rRNA|7|ENSG00000201014	7	135248	135366	-
5S_rRNA|7|ENSG00000201041	7	259842	259959	+
5S_rRNA|7|ENSG00000201109	7	593818	593938	+
5S_rRNA|7|ENSG00000201515	7	36292	36416	-
5S_rRNA|7|ENSG00000202225	7	707812	707921	-
5S_rRNA|7|ENSG00000202281	7	563579	563692	+
5S_rRNA|7|ENSG00000202334	7	200514	200633	-
5S_rRNA|7|ENSG00000202472	7	303036	303162	-
5S_rRNA|7|ENSG00000212238	7	322807	322921	+
5S_rRNA|7|ENSG00000212628	7	96004	96117	-
5S_rRNA|7|ENSG00000222150	7	531028	531140	-
5S_rRNA|7|ENSG00000222346	7	291599	291711	-
5S_rRNA|7|ENSG00000222428	7	210162	210270	-
5S_rRNA|7|ENSG00000222741	7	49201	49319	+
5S_rRNA|7|ENSG00000222789	7	793459	793556	-
5S_rRNA|7|ENSG00000223113	7	286693	286801	+
5S_rRNA|8|ENSG00000199354	8	645687	645801	+
5S_rRNA|8|ENSG00000199450	8	615190	615283	-
5S_rRNA|8|ENSG00000199620	8	953159	953277	+
5S_rRNA|8|ENSG00000199893	8	61855	61970	+
5S_rRNA|8|ENSG00000199985	8	968400	968506	+
5S_rRNA|8|ENSG00000200246	8	617512	617639	+
5S_rRNA|8|ENSG00000200719	8	963172	963282	-
5S_rRNA|8|ENSG00000200806	8	636000	636117	+
5S_rRNA|8|ENSG00000200820	8	376894	376998	-
5S_rRNA|8|ENSG00000201763	8	651468	651593	+
5S_rRNA|8|ENSG00000202356	8	702660	702771	-
5S_rRNA|8|ENSG00000202411	8	445089	445197	+
5S_rRNA|8|ENSG00000212280	8	519797	519909	+
5S_rRNA|8|ENSG00000212433	8	903081	903199	+
5S_rRNA|8|ENSG00000222205	8	25198	25305	-
5S_rRNA|8|ENSG00000222416	8	650728	650835	+
5S_rRNA|8|ENSG00000222468	8	603295	603400	-
5S_rRNA|8|ENSG00000222546	8	766141	766247	+
5S_rRNA|8|ENSG00000222955	8	643776	643884	+
5S_rRNA|8|ENSG00000223293	8	978788	978905	+
5S_rRNA|9|ENSG00000199202	9	179305	179420	+
5S_rRNA|9|ENSG00000199525	9	892567	892687	+
5S_rRNA|9|ENSG00000201890	9	140018	140136	+
5S_rRNA|9|ENSG00000202383	9	323837	323953	+
5S_rRNA|9|ENSG00000202474	9	721912	722032	-
5S_rRNA|9|ENSG00000207277	9	422692	422811	+
5S_rRNA|9|ENSG00000212276	9	396706	396823	-
5S_rRNA|9|ENSG00000212454	9	345619	345726	-
5S_rRNA|9|ENSG00000222455	9	599011	599114	-
5S_rRNA|9|ENSG00000222459	9	471823	471935	-
5S_rRNA|9|ENSG00000223162	9	242876	242990	+
5S_rRNA|9|ENSG00000223238	9	51943	52051	-
5S_rRNA|X|ENSG00000199564	X	800960	801078	+
5S_rRNA|X|ENSG00000200473	X	637982	638102	+
5S_rRNA|X|ENSG00000200587	X	666395	666505	-
5S_rRNA|X|ENSG00000200852	X	244785	244903	+
5S_rRNA|X|ENSG00000201000	X	121991	122109	+
5S_rRNA|X|ENSG00000201285	X	692798	692913	-
5S_rRNA|X|ENSG00000201356	X	396454	396572	-
5S_rRNA|X|ENSG00000201420	X	29492	29611	-
5S_rRNA|X|ENSG00000201440	X	156777	156894	-
5S_rRNA|X|ENSG00000201447	X	741190	741308	+
5S_rRNA|X|ENSG00000201518	X	59685	59802	-
5S_rRNA|X|ENSG00000201567	X	806257	806371	+
5S_rRNA|X|ENSG00000201594	X	112152	112268	-
5S_rRNA|X|ENSG00000201618	X	857983	858090	+
5S_rRNA|X|ENSG00000201686	X	57413	57531	+
5S_rRNA|X|ENSG00000206740	X	69436	69539	-
5S_rRNA|X|ENSG00000212595	X	740911	741022	-
5S_rRNA|X|ENSG00000222063	X	307163	307269	-
5S_rRNA|X|ENSG00000222419	X	177238	177354	-
5S_rRNA|X|ENSG00000222608	X	583370	583486	+
5S_rRNA|X|ENSG00000222922	X	1275624	1275735	+
5S_rRNA|X|ENSG00000223259	X	329483	329601	-
5S_rRNA|X|ENSG00000223274	X	379149	379268	-
5S_rRNA|Y|ENSG00000206584	Y	199240	199355	-
5S_rRNA|Y|ENSG00000207521	Y	412568	412683	+
5S_rRNA|Y|ENSG00000212173	Y	201152	201264	-
5S_rRNA|Y|ENSG00000212408	Y	410658	410770	+
5S_rRNA|Y|ENSG00000223274	Y	379149	379268	-
5_8S_rRNA|16|ENSG00000200434	16	894256	894407	+
5_8S_rRNA|19|ENSG00000201966	19	718909	719058	-
5_8S_rRNA|20|ENSG00000200313	20	276854	277008	-
5_8S_rRNA|2|ENSG00000202174	2	416700	416851	-
5_8S_rRNA|9|ENSG00000201227	9	545365	545525	-
7SK|10|ENSG00000201364	10	177595	177890	+
7SK|10|ENSG00000201581	10	288896	289213	+
7SK|10|ENSG00000202091	10	271754	272063	-
7SK|10|ENSG00000222371	10	460910	461241	+
7SK|10|ENSG00000222436	10	674752	675076	-
7SK|10|ENSG00000222451	10	581663	581972	-
7SK|10|ENSG00000222543	10	219167	219484	-
7SK|10|ENSG00000222705	10	631408	631725	-
7SK|10|ENSG00000222979	10	407002	407286	+
7SK|11|ENSG00000199883	11	199464	199798	+
7SK|11|ENSG00000199975	11	684051	684364	-
7SK|11|ENSG00000200047	11	481889	482205	+
7SK|11|ENSG00000200853	11	128413	128724	+
7SK|11|ENSG00000201564	11	807884	808204	+
7SK|11|ENSG00000201684	11	377561	377855	+
7SK|11|ENSG00000222162	11	679787	680105	+
7SK|11|ENSG00000222385	11	241589	241902	-
7SK|11|ENSG00000222774	11	242365	242669	-
7SK|11|ENSG00000222998	11	339019	339351	+
7SK|11|ENSG00000223202	11	673502	673798	+
7SK|11|ENSG00000223223	11	683194	683504	-
7SK|11|ENSG00000223269	11	799525	799839	+
7SK|11|ENSG00000223315	11	244188	244507	+
7SK|11|ENSG00000223324	11	107070	107383	+
7SK|12|ENSG00000200475	12	328910	329217	+
7SK|12|ENSG00000200794	12	385885	386205	-
7SK|12|ENSG00000200830	12	199037	199338	-
7SK|12|ENSG00000201428	12	241388	241706	+
7SK|12|ENSG00000201612	12	901882	902206	-
7SK|12|ENSG00000222210	12	725202	725510	-
7SK|12|ENSG00000222744	12	39917	40221	+
7SK|12|ENSG00000222880	12	580898	581205	-
7SK|12|ENSG00000222950	12	727966	728263	-
7SK|12|ENSG00000222982	12	479180	479499	-
7SK|12|ENSG00000223042	12	629195	629495	+
7SK|12|ENSG00000223126	12	332365	332673	-
7SK|12|ENSG00000223160	12	479882	480202	-
7SK|12|ENSG00000223273	12	514500	514801	+
7SK|13|ENSG00000201061	13	3573	3894	+
7SK|13|ENSG00000201161	13	319944	320272	+
7SK|13|ENSG00000201665	13	953606	953927	-
7SK|13|ENSG00000201793	13	115870	116193	+
7SK|13|ENSG00000202395	13	396017	396318	-
7SK|13|ENSG00000222472	13	859356	859695	-
7SK|13|ENSG00000222969	13	114004	114313	-
7SK|13|ENSG00000223341	13	848161	848495	+
7SK|14|ENSG00000200312	14	247734	248048	+
7SK|14|ENSG00000201027	14	157141	157430	+
7SK|14|ENSG00000201358	14	426009	426331	+
7SK|14|ENSG00000201395	14	670602	670932	-
7SK|14|ENSG00000222836	14	718348	718652	+
7SK|14|ENSG00000222931	14	346924	347212	+
7SK|14|ENSG00000223174	14	519881	520194	+
7SK|14|ENSG00000223299	14	464883	465203	-
7SK|15|ENSG00000199730	15	881102	881419	-
7SK|15|ENSG00000201510	15	389445	389751	+
7SK|15|ENSG00000222343	15	402830	403145	+
7SK|15|ENSG00000222617	15	770238	770543	+
7SK|15|ENSG00000223120	15	125721	126048	+
7SK|15|ENSG00000223308	15	850436	850746	-
7SK|16|ENSG00000200543	16	862048	862364	+
7SK|16|ENSG00000201201	16	858945	859274	-
7SK|16|ENSG00000201289	16	280442	280764	-
7SK|16|ENSG00000222375	16	289860	290157	-
7SK|16|ENSG00000223168	16	518392	518696	-
7SK|17|ENSG00000200783	17	516815	517144	-
7SK|17|ENSG00000222976	17	533880	534169	+
7SK|17|ENSG00000223255	17	742676	742973	+
7SK|17|ENSG00000223276	17	614814	615110	+
7SK|18|ENSG00000199197	18	313767	314086	-
7SK|18|ENSG00000200472	18	804227	804546	+
